category,principle,goal,logprob
Law 1581,1,0,-77.2344
Law 1581,1,1,-0.163613
Law 1581,1,2,-77.2344
Law 1581,1,3,-77.2344
Law 1581,2,4,-77.2344
Law 1581,2,5,-77.2344
Law 1581,2,6,-77.2344
Law 1581,3,7,-77.2344
Law 1581,3,8,-77.2344
Law 1581,3,9,-77.2344
Law 1581,4,10,-77.2344
Law 1581,4,11,-77.2344
Law 1581,4,12,-77.2344
Law 1581,4,13,-77.2344
Law 1581,4,14,-77.2344
Law 1581,5,15,-1.1051
Law 1581,5,16,-77.2344
Law 1581,5,17,-77.2344
Law 1581,6,18,-77.2344
Law 1581,6,19,-77.2344
Law 1581,6,20,-77.2344
Law 1581,7,21,-0.561796
Law 1581,7,22,0.0
Decree 1377,1,0,-32.7339
Decree 1377,1,1,-0.43256
Decree 1377,1,2,-32.7339
Decree 1377,1,3,-32.7339
Decree 1377,2,4,-32.7339
Decree 1377,2,5,-0.00742
Decree 1377,2,6,-0.00096
Decree 1377,3,7,-0.530123
Decree 1377,3,8,-32.7339
Decree 1377,3,9,-32.7339
Decree 1377,4,10,-0.950831
Decree 1377,4,11,0.0
Decree 1377,4,12,-32.7339
Decree 1377,4,13,-0.029753
Decree 1377,4,14,-2e-06
Decree 1377,5,15,-0.000435
Decree 1377,5,16,-0.061839
Decree 1377,5,17,-0.000239
Decree 1377,6,18,-0.05708
Decree 1377,6,19,-32.7339
Decree 1377,6,20,-32.7339
Decree 1377,7,21,-0.075767
Decree 1377,7,22,-2e-06
Law 29733,1,0,-40.9941
Law 29733,1,1,-0.481465
Law 29733,1,2,-0.064714
Law 29733,1,3,-40.9941
Law 29733,2,4,-40.9941
Law 29733,2,5,-1.08363
Law 29733,2,6,-40.9941
Law 29733,3,7,-40.9941
Law 29733,3,8,-40.9941
Law 29733,3,9,-40.9941
Law 29733,4,10,-40.9941
Law 29733,4,11,-40.9941
Law 29733,4,12,-40.9941
Law 29733,4,13,-0.259865
Law 29733,4,14,-0.005245
Law 29733,5,15,-0.00013
Law 29733,5,16,-40.9941
Law 29733,5,17,-40.9941
Law 29733,6,18,-40.9941
Law 29733,6,19,-40.9941
Law 29733,6,20,-40.9941
Law 29733,7,21,-40.9941
Law 29733,7,22,-0.285596
SD 016-2024-JUS ,1,0,-72.8264
SD 016-2024-JUS ,1,1,-0.184237
SD 016-2024-JUS ,1,2,-0.418761
SD 016-2024-JUS ,1,3,-0.631732
SD 016-2024-JUS ,2,4,-0.528935
SD 016-2024-JUS ,2,5,-0.014177
SD 016-2024-JUS ,2,6,-4e-06
SD 016-2024-JUS ,3,7,-0.000285
SD 016-2024-JUS ,3,8,-72.8264
SD 016-2024-JUS ,3,9,-0.669152
SD 016-2024-JUS ,4,10,-1e-05
SD 016-2024-JUS ,4,11,0.0
SD 016-2024-JUS ,4,12,-2.9e-05
SD 016-2024-JUS ,4,13,0.0
SD 016-2024-JUS ,4,14,0.0
SD 016-2024-JUS ,5,15,0.0
SD 016-2024-JUS ,5,16,-1.1e-05
SD 016-2024-JUS ,5,17,-9e-06
SD 016-2024-JUS ,6,18,-5.3e-05
SD 016-2024-JUS ,6,19,-0.022685
SD 016-2024-JUS ,6,20,-0.005999
SD 016-2024-JUS ,7,21,-2e-06
SD 016-2024-JUS ,7,22,0.0
