category
ISO/IEC 27701:2025
Europe (GDPR)
Paraguay (Law 7593/25)
Chile (Law 21719)
Ecuador (LOPDP and RLOPDP)
México (LFPDPPP and LGPDPPSO)
Colombia (Law 1581 and Decree 1377)
Perú (Law 29733 and SD 016-2024-JUS)
