category,principle,goal,logprob
México (LFPDPPP and LGPDPPSO),7,21,0.0
México (LFPDPPP and LGPDPPSO),7,22,0.0
Colombia (Law 1581 and Decree 1377),1,0,-32.7339
Colombia (Law 1581 and Decree 1377),1,1,-0.163613
Colombia (Law 1581 and Decree 1377),1,2,-32.7339
Colombia (Law 1581 and Decree 1377),1,3,-32.7339
Colombia (Law 1581 and Decree 1377),2,4,-32.7339
Colombia (Law 1581 and Decree 1377),2,5,-0.00742
Colombia (Law 1581 and Decree 1377),2,6,-0.00096
Colombia (Law 1581 and Decree 1377),3,7,-0.530123
Colombia (Law 1581 and Decree 1377),3,8,-32.7339
Colombia (Law 1581 and Decree 1377),3,9,-32.7339
Colombia (Law 1581 and Decree 1377),4,10,-0.950831
Colombia (Law 1581 and Decree 1377),4,11,0.0
Colombia (Law 1581 and Decree 1377),4,12,-32.7339
Colombia (Law 1581 and Decree 1377),4,13,-0.029753
Colombia (Law 1581 and Decree 1377),4,14,-2e-06
Colombia (Law 1581 and Decree 1377),5,15,-0.000435
Colombia (Law 1581 and Decree 1377),5,16,-0.061839
Colombia (Law 1581 and Decree 1377),5,17,-0.000239
Colombia (Law 1581 and Decree 1377),6,18,-0.05708
Colombia (Law 1581 and Decree 1377),6,19,-32.7339
Colombia (Law 1581 and Decree 1377),6,20,-32.7339
Colombia (Law 1581 and Decree 1377),7,21,-0.075767
Colombia (Law 1581 and Decree 1377),7,22,0.0
Perú (Law 29733 and SD 016-2024-JUS),1,0,-40.9941
Perú (Law 29733 and SD 016-2024-JUS),1,1,-0.184237
Perú (Law 29733 and SD 016-2024-JUS),1,2,-0.064714
Perú (Law 29733 and SD 016-2024-JUS),1,3,-0.631732
Perú (Law 29733 and SD 016-2024-JUS),2,4,-0.528935
Perú (Law 29733 and SD 016-2024-JUS),2,5,-0.014177
Perú (Law 29733 and SD 016-2024-JUS),2,6,-4e-06
Perú (Law 29733 and SD 016-2024-JUS),3,7,-0.000285
Perú (Law 29733 and SD 016-2024-JUS),3,8,-40.9941
Perú (Law 29733 and SD 016-2024-JUS),3,9,-0.669152
Perú (Law 29733 and SD 016-2024-JUS),4,10,-1e-05
Perú (Law 29733 and SD 016-2024-JUS),4,11,0.0
Perú (Law 29733 and SD 016-2024-JUS),4,12,-2.9e-05
Perú (Law 29733 and SD 016-2024-JUS),4,13,0.0
Perú (Law 29733 and SD 016-2024-JUS),4,14,0.0
Perú (Law 29733 and SD 016-2024-JUS),5,15,0.0
Perú (Law 29733 and SD 016-2024-JUS),5,16,-1.1e-05
Perú (Law 29733 and SD 016-2024-JUS),5,17,-9e-06
Perú (Law 29733 and SD 016-2024-JUS),6,18,-5.3e-05
Perú (Law 29733 and SD 016-2024-JUS),6,19,-0.022685
Perú (Law 29733 and SD 016-2024-JUS),6,20,-0.005999
Perú (Law 29733 and SD 016-2024-JUS),7,21,-2e-06
Perú (Law 29733 and SD 016-2024-JUS),7,22,0.0
