category,principle,goal,logprob
LFPDPPP (México),4,11,-1e-06
LFPDPPP (México),4,12,-0.038186
LFPDPPP (México),4,13,-1.3e-05
LFPDPPP (México),4,14,-5e-06
LFPDPPP (México),5,15,-0.000217
LFPDPPP (México),5,16,-0.001548
LFPDPPP (México),5,17,-0.000263
LFPDPPP (México),6,18,-9.2e-05
LFPDPPP (México),6,19,-0.181811
LFPDPPP (México),6,20,-0.003097
LFPDPPP (México),7,21,-1e-06
LFPDPPP (México),7,22,0.0
RLOPDP (Ecuador),1,0,-88.4123
RLOPDP (Ecuador),1,1,-0.581875
RLOPDP (Ecuador),1,2,-88.4123
RLOPDP (Ecuador),1,3,-88.4123
RLOPDP (Ecuador),2,4,-88.4123
RLOPDP (Ecuador),2,5,-88.4123
RLOPDP (Ecuador),2,6,-88.4123
RLOPDP (Ecuador),3,7,-88.4123
RLOPDP (Ecuador),3,8,-88.4123
RLOPDP (Ecuador),3,9,-88.4123
RLOPDP (Ecuador),4,10,-88.4123
RLOPDP (Ecuador),4,11,-88.4123
RLOPDP (Ecuador),4,12,-88.4123
RLOPDP (Ecuador),4,13,-88.4123
RLOPDP (Ecuador),4,14,-88.4123
RLOPDP (Ecuador),5,15,-0.783474
RLOPDP (Ecuador),5,16,-5.9e-05
RLOPDP (Ecuador),5,17,-0.00025
RLOPDP (Ecuador),6,18,-0.106966
RLOPDP (Ecuador),6,19,-0.205546
RLOPDP (Ecuador),6,20,-88.4123
RLOPDP (Ecuador),7,21,-88.4123
RLOPDP (Ecuador),7,22,-0.576786
LOPDP (Ecuador),1,0,-63.7406
LOPDP (Ecuador),1,1,-0.252886
LOPDP (Ecuador),1,2,-63.7406
LOPDP (Ecuador),1,3,-63.7406
LOPDP (Ecuador),2,4,-63.7406
LOPDP (Ecuador),2,5,-63.7406
LOPDP (Ecuador),2,6,-63.7406
LOPDP (Ecuador),3,7,-0.344583
LOPDP (Ecuador),3,8,-63.7406
LOPDP (Ecuador),3,9,-63.7406
LOPDP (Ecuador),4,10,-63.7406
LOPDP (Ecuador),4,11,-63.7406
LOPDP (Ecuador),4,12,-63.7406
LOPDP (Ecuador),4,13,-1.36679
LOPDP (Ecuador),4,14,-63.7406
LOPDP (Ecuador),5,15,-0.43015
LOPDP (Ecuador),5,16,-0.002976
LOPDP (Ecuador),5,17,-0.037962
LOPDP (Ecuador),6,18,-0.040245
LOPDP (Ecuador),6,19,-0.001996
LOPDP (Ecuador),6,20,-63.7406
LOPDP (Ecuador),7,21,-0.045964
LOPDP (Ecuador),7,22,0.0
Law 21719 (Chile),1,0,-0.305639
Law 21719 (Chile),1,1,-0.000139
Law 21719 (Chile),1,2,-0.315314
Law 21719 (Chile),1,3,-1.3
Law 21719 (Chile),2,4,-0.269813
Law 21719 (Chile),2,5,-5.9e-05
Law 21719 (Chile),2,6,-1e-06
Law 21719 (Chile),3,7,-4e-06
Law 21719 (Chile),3,8,-72.1618
Law 21719 (Chile),3,9,-0.64332
Law 21719 (Chile),4,10,-0.002333
Law 21719 (Chile),4,11,-0.026702
Law 21719 (Chile),4,12,-0.000553
Law 21719 (Chile),4,13,-1e-06
Law 21719 (Chile),4,14,-3.2e-05
Law 21719 (Chile),5,15,-1e-06
Law 21719 (Chile),5,16,-3.8e-05
Law 21719 (Chile),5,17,-2e-06
Law 21719 (Chile),6,18,-0.000139
Law 21719 (Chile),6,19,-72.1618
Law 21719 (Chile),6,20,-72.1618
Law 21719 (Chile),7,21,-0.603309
Law 21719 (Chile),7,22,0.0
Law 29733 (Perú),1,0,-40.9941
Law 29733 (Perú),1,1,-0.481465
Law 29733 (Perú),1,2,-0.064714
Law 29733 (Perú),1,3,-40.9941
Law 29733 (Perú),2,4,-40.9941
Law 29733 (Perú),2,5,-1.08363
Law 29733 (Perú),2,6,-40.9941
Law 29733 (Perú),3,7,-40.9941
Law 29733 (Perú),3,8,-40.9941
Law 29733 (Perú),3,9,-40.9941
Law 29733 (Perú),4,10,-40.9941
Law 29733 (Perú),4,11,-40.9941
Law 29733 (Perú),4,12,-40.9941
Law 29733 (Perú),4,13,-0.259865
Law 29733 (Perú),4,14,-0.005245
Law 29733 (Perú),5,15,-0.00013
Law 29733 (Perú),5,16,-40.9941
Law 29733 (Perú),5,17,-40.9941
Law 29733 (Perú),6,18,-40.9941
Law 29733 (Perú),6,19,-40.9941
Law 29733 (Perú),6,20,-40.9941
Law 29733 (Perú),7,21,-40.9941
Law 29733 (Perú),7,22,-0.285596
Supreme Decree 016-2024-JUS (Perú),1,0,-72.8264
Supreme Decree 016-2024-JUS (Perú),1,1,-0.184237
Supreme Decree 016-2024-JUS (Perú),1,2,-0.418761
Supreme Decree 016-2024-JUS (Perú),1,3,-0.631732
Supreme Decree 016-2024-JUS (Perú),2,4,-0.528935
